Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,164.500196,164.500196,156.000167,157.25018,6471200,36.791884
2000-01-04,155.312671,155.875175,149.125153,151.31266,10440800,35.40268
2000-01-05,150.500159,153.125164,147.250153,147.250153,8646200,34.503484
2000-01-06,145.500158,152.375185,145.500158,150.250161,10990900,35.206442
2000-01-07,150.750182,153.500154,148.500166,152.437668,6016400,35.719016
2000-01-10,153.000172,156.562684,151.875164,154.562691,4906300,36.21695
2000-01-11,154.375177,160.00019,153.750151,156.000167,7158400,36.553777
2000-01-12,155.937658,158.875183,153.437671,155.187678,5816900,36.363396
2000-01-13,156.500162,158.250156,154.250172,156.000167,5831000,36.553777
2000-01-14,157.937676,161.125159,157.687692,159.500169,6290600,37.373894
2000-01-18,158.000159,158.000159,151.500161,151.562684,5867700,35.513991
2000-01-19,153.500154,154.750167,148.750164,148.937678,6608700,34.898903
2000-01-20,150.250161,154.625174,148.375161,151.40643,11311000,35.477378
2000-01-21,153.000172,153.750151,150.937657,151.687676,6310800,35.543279
2000-01-24,154.250172,158.000159,150.625151,152.000156,10029900,35.616499
2000-01-25,151.625167,158.750177,151.625167,158.375188,10150500,37.110289
2000-01-26,160.00019,164.062684,159.500169,159.750154,13196800,37.43247
2000-01-27,161.000167,164.250159,160.062673,162.937676,6235400,38.179366
2000-01-28,161.125159,162.25018,157.750175,158.250156,7210500,37.080992
2000-01-31,157.000182,165.750196,156.812668,164.750193,7406900,38.604073
2000-02-01,164.562679,169.500183,163.812687,169.000201,9279600,39.59993
2000-02-02,168.50018,168.50018,163.625172,164.187689,8956800,38.472268
2000-02-03,164.500196,165.500172,160.625177,162.875193,7454900,38.164725
2000-02-04,162.875193,163.625172,160.625177,161.437679,5155100,37.827888
2000-02-07,161.437679,163.87517,160.937684,162.437681,4470600,38.062208
2000-02-08,163.50018,165.312697,162.750201,163.000185,5268500,38.194013
2000-02-09,162.875193,162.875193,155.000164,156.562684,7182100,36.685585
2000-02-10,156.625154,159.500169,153.625159,154.500169,5986200,36.202299
2000-02-11,155.000164,158.062681,151.937673,153.500154,6520900,35.967977
2000-02-14,153.500154,157.937676,153.500154,154.000188,5418300,36.085144
2000-02-15,154.250172,159.625162,153.812673,159.125167,4668100,37.286023
2000-02-16,156.500162,156.750185,152.125148,153.843921,7616700,36.048528
2000-02-17,154.250172,155.500185,142.875153,147.937662,14201000,34.66458
2000-02-18,147.875179,147.937662,135.37514,138.250142,15618600,32.394612
2000-02-22,139.500155,140.250135,137.625155,139.125166,13781500,32.599647
2000-02-23,139.000161,140.687646,136.687662,138.12515,10902200,32.365324
2000-02-24,137.625155,138.562662,128.875142,130.00015,19860700,30.461483
2000-02-25,131.125132,134.000134,124.000147,124.750126,16576200,29.231304
2000-02-28,126.500134,135.500145,126.500134,132.625129,16359600,31.076565
2000-02-29,136.000166,136.187641,131.50016,134.187649,8560900,31.442693
2000-03-01,137.000142,137.437654,132.187656,135.500145,7788700,31.750236
2000-03-02,137.000142,137.437654,132.375132,133.562662,8707600,31.296247
2000-03-03,137.750161,138.375148,131.250163,133.500153,8775100,31.2816
2000-03-06,133.500153,133.750137,128.625145,129.250131,7299600,30.28574
2000-03-07,129.500129,130.00015,124.125152,126.375129,11151000,29.612073
2000-03-08,126.625126,126.625126,121.062622,122.750147,11361100,28.762671
2000-03-09,123.875155,124.375136,119.500141,122.750147,12839000,28.762671
2000-03-10,123.125136,129.812649,121.81264,126.687635,12432800,29.685299
2000-03-13,123.750123,131.375155,122.375144,126.562643,10198200,29.656011
2000-03-14,129.750126,132.375132,127.875139,128.437643,9381800,30.095359
2000-03-15,128.75015,134.250132,127.18763,132.875166,11197300,31.135154
2000-03-16,137.000142,146.562657,136.500148,143.750164,17287100,33.683371
2000-03-17,142.500163,147.000169,141.062675,143.625171,11811100,33.654083
2000-03-20,145.000177,147.000169,140.937644,142.000169,8829600,33.273314
2000-03-21,142.000169,149.000148,138.50014,145.875148,11703500,34.181294
2000-03-22,146.625166,147.750174,143.375174,147.750174,6373900,34.620648
2000-03-23,147.750174,156.000167,145.250161,156.000167,11305200,36.553777
2000-03-24,155.875175,157.312663,153.812673,155.625177,9741000,36.46591
2000-03-27,155.500185,156.000167,149.125153,150.500159,7037800,35.265022
2000-03-28,149.625174,154.875159,148.937678,152.500177,8031400,35.733664
2000-03-29,152.125148,154.625174,149.250145,151.625167,6100000,35.528632
2000-03-30,151.500161,152.625182,147.875179,149.000148,6803700,34.913541
2000-03-31,148.500166,150.500159,146.500174,148.937678,6340300,34.898903
2000-04-03,149.750166,157.187658,149.43766,155.500185,8983500,36.436622
2000-04-04,155.500185,157.812684,142.687665,147.000169,14593500,34.444908
2000-04-05,146.000153,147.250153,143.312652,144.500143,8735700,33.859105
2000-04-06,144.000161,144.06267,140.062659,141.000153,9322100,33.038991
2000-04-07,141.375142,141.375142,138.625145,139.062644,6879100,32.584996
2000-04-10,139.062644,145.000177,138.187659,143.18766,8168500,33.551565
2000-04-11,144.37515,146.500174,141.000153,145.187652,8784400,34.020201
2000-04-12,146.250177,154.000188,146.187668,150.750182,11771300,35.323607
2000-04-13,150.750182,151.375169,145.000177,146.000153,9081500,34.210586
2000-04-14,143.500166,144.000161,131.812628,134.000134,15655300,31.398755
2000-04-17,133.000158,136.375155,131.87515,134.000134,10543300,31.398755
2000-04-18,135.250147,140.625163,135.00015,139.937667,6599100,32.790031
2000-04-19,139.500155,140.750156,137.812644,139.500155,5586900,32.687514
2000-04-20,139.250158,143.875156,138.687654,143.000145,5357000,33.56537
2000-04-24,142.750148,151.125172,142.000169,150.062686,11306600,35.223108
2000-04-25,151.00018,158.000159,150.937657,158.000159,9650500,37.086212
2000-04-26,158.000159,159.750154,154.500169,154.625174,7974100,36.294027
2000-04-27,152.500177,155.187678,150.000164,155.000164,8248300,36.382046
2000-04-28,155.000164,156.87519,149.500182,149.500182,7877500,35.091075
2000-05-01,149.625174,153.250169,146.437652,151.375169,8790200,35.531177
2000-05-02,151.375169,151.375169,147.500151,148.062655,7036400,34.753655
2000-05-03,147.625143,149.750166,140.000137,142.000169,8556800,33.330653
2000-05-04,143.375174,147.250153,143.062667,144.75014,6946900,33.976133
2000-05-05,144.75014,146.687649,141.500148,146.625166,5857700,34.416244
2000-05-08,145.000177,152.312663,144.875171,152.062678,6339300,35.692551
2000-05-09,152.062678,154.12518,147.625143,148.000172,7276300,34.738989
2000-05-10,148.500166,150.375153,142.625156,143.375174,10161200,33.653397
2000-05-11,47.750185,49.500198,47.500192,49.500198,3806000,34.85645
2000-05-12,49.125195,50.625201,49.000198,50.250206,3613200,35.384581
2000-05-15,50.5002,52.375214,50.187701,52.187712,3887300,36.74891
2000-05-16,52.562716,52.625208,51.062709,51.125201,4043600,36.000725
2000-05-17,51.000204,51.750199,50.250206,50.9377,3567800,35.868692
2000-05-18,50.750206,52.312709,50.750206,51.812704,3115600,36.484842
2000-05-19,50.812703,51.125201,49.750192,50.312698,3258000,35.428586
2000-05-22,50.250206,50.625201,48.687695,49.625195,3427700,34.944469
2000-05-23,49.2502,50.875208,49.2502,50.750206,3483300,35.736665
2000-05-24,50.750206,52.375214,49.375201,50.000199,4939300,35.208534
2000-05-25,50.000199,51.187706,48.500193,48.875197,4409100,34.416344
2000-05-26,49.2502,49.937694,48.687695,49.062698,1971000,34.548376
2000-05-30,49.625195,50.750206,49.625195,50.625201,1958000,35.64864
2000-05-31,50.687706,54.37522,50.250206,54.000217,5440000,38.025218
2000-06-01,53.812715,54.875221,53.000211,53.87522,4736400,37.937199
2000-06-02,55.812722,57.000229,55.500223,56.500224,5285200,39.785643
2000-06-05,56.250217,56.250217,54.812716,55.62522,3301400,39.169493
2000-06-06,55.375226,55.375226,53.500212,54.000217,4159300,38.025218
2000-06-07,54.250224,56.937724,54.187719,56.437719,3259900,39.741629
2000-06-08,56.187725,56.500224,55.000218,55.000218,2928300,38.729387
2000-06-09,55.500223,56.312722,53.500212,53.812715,2784300,37.893185
2000-06-12,53.750219,54.500217,53.500212,53.65647,2644400,37.783163
2000-06-13,53.750219,54.687719,52.812709,54.500217,2826500,38.377303
2000-06-14,54.750211,57.187731,54.625214,56.750222,4399100,39.961684
2000-06-15,56.375227,56.875228,53.937712,55.500223,4454100,39.081474
2000-06-16,55.500223,55.687725,51.375208,51.500205,6841100,36.26479
2000-06-19,52.187712,55.062723,51.937705,53.500212,4895500,37.673131
2000-06-20,52.750204,54.625214,52.750204,54.000217,3512000,38.025218
2000-06-21,54.062722,54.062722,52.125207,52.625208,2462400,37.056981
2000-06-22,52.375214,53.500212,51.937705,53.437711,3638400,37.62912
2000-06-23,53.437711,54.312716,52.750204,53.625213,3236400,37.761153
2000-06-26,53.625213,56.500224,53.562717,56.187725,3620900,39.565591
2000-06-27,56.000224,56.312722,53.750219,54.187719,3542200,38.157251
2000-06-28,53.187713,54.937713,53.187713,53.250205,4753500,37.497084
2000-06-29,52.812709,53.187713,52.000206,52.500211,3474000,36.968962
2000-06-30,51.687707,52.234584,51.000204,52.125207,4835700,36.704896
2000-07-03,50.875208,52.625208,50.875208,52.375214,1726700,36.880943
2000-07-05,52.750204,52.937706,51.56271,52.125207,3549700,36.761043
2000-07-06,51.312703,52.062711,50.687706,51.937705,4151200,36.628808
2000-07-07,52.500211,53.812715,52.062711,53.750219,4055900,37.907074
2000-07-10,53.625213,55.062723,52.812709,54.875221,4046400,38.700476
2000-07-11,54.875221,55.437718,53.250205,54.062722,3928900,38.127465
2000-07-12,54.250224,55.562728,53.687714,55.000218,3996900,38.78863
2000-07-13,55.62522,55.62522,54.625214,55.062723,2042400,38.832711
2000-07-14,55.18772,57.125226,54.937713,56.562729,3933000,39.890583
2000-07-17,57.000229,57.375233,55.000218,56.312722,4145400,39.714267
2000-07-18,56.000224,56.062728,54.250224,55.18772,3535700,38.920865
2000-07-19,55.125219,55.687725,54.500217,55.062723,2607100,38.832711
2000-07-20,55.125219,57.750223,55.125219,56.875228,3858400,40.110971
2000-07-21,56.750222,59.562741,56.750222,59.250243,6136200,41.785939
2000-07-24,59.250243,59.750235,56.187725,57.062734,4547800,40.243209
2000-07-25,57.250236,57.625227,55.62522,55.875227,4227900,39.405725
2000-07-26,55.18772,56.875228,55.125219,55.62522,4209000,39.229409
2000-07-27,56.250217,58.43773,56.12522,58.312733,3773300,41.124765
2000-07-28,58.750242,58.750242,55.062723,56.000224,4403800,39.493879
2000-07-31,55.875227,57.375233,55.812722,56.687726,3560700,39.978737
2000-08-01,57.000229,57.50023,56.500224,56.937724,2388200,40.155046
2000-08-02,56.937724,57.937725,56.187725,57.375233,3158500,40.463597
2000-08-03,55.875227,58.56274,55.875227,58.00023,3947900,40.904374
2000-08-04,58.875239,60.187743,58.187732,59.812739,4312400,42.182637
2000-08-07,59.250243,59.812739,58.187732,58.312733,4084700,41.124765
2000-08-08,58.875239,58.875239,57.50023,58.750242,3250800,41.433316
2000-08-09,58.125227,60.125238,58.125227,59.625233,3654200,42.050399
2000-08-10,59.687738,60.000241,58.500235,58.625232,2657400,41.345153
2000-08-11,58.750242,60.437737,58.43773,59.750235,3614000,42.138555
2000-08-14,60.125238,60.437737,58.750242,60.000241,2806100,42.314872
2000-08-15,59.937736,59.937736,58.687737,59.187738,3155400,41.741857
2000-08-16,58.750242,59.687738,57.250236,57.312728,3070900,40.419516
2000-08-17,57.437725,59.000236,57.312728,58.500235,2771200,41.257
2000-08-18,59.000236,59.187738,58.250228,58.500235,2375800,41.257
2000-08-21,59.000236,60.062742,58.750242,59.125233,2775800,41.697776
2000-08-22,59.500236,59.625233,57.437725,57.937725,4134000,40.860292
2000-08-23,58.312733,58.312733,57.000229,57.312728,3717100,40.419516
2000-08-24,58.00023,58.00023,55.75023,56.500224,4558200,39.846502
2000-08-25,56.625225,57.187731,56.562729,56.562729,2471900,39.890583
2000-08-28,57.50023,59.937736,57.000229,59.87524,4912600,42.226715
2000-08-29,59.125233,59.687738,58.312733,59.250243,3513500,41.785939
2000-08-30,58.812734,59.687738,58.625232,58.937731,2291200,41.565541
2000-08-31,59.000236,60.375245,59.000236,59.015864,3959800,41.620644
2000-09-01,59.500236,59.87524,58.375234,58.43773,2118700,41.212918
2000-09-05,58.43773,59.937736,58.375234,59.750235,2713400,42.138555
2000-09-06,60.000241,61.875251,59.500236,60.000241,4184200,42.314872
2000-09-07,60.000241,60.000241,58.500235,59.312735,1843000,41.830011
2000-09-08,59.187738,60.687744,58.937731,60.625239,3522100,42.755648
2000-09-11,60.000241,61.937743,60.000241,61.812746,3804500,43.593132
2000-09-12,61.937743,61.937743,60.562747,61.375246,3488400,43.284587
2000-09-13,61.875251,62.250255,60.31274,61.312741,3613000,43.240506
2000-09-14,61.187744,61.875251,60.500242,60.812741,2419900,42.887883
2000-09-15,60.562747,61.187744,58.750242,59.312735,4973700,41.830011
2000-09-18,58.687737,59.000236,58.00023,58.00023,2965300,40.904374
2000-09-19,58.00023,59.87524,58.00023,59.812739,3512800,42.182637
2000-09-20,57.562735,58.187732,56.375227,58.00023,4064500,40.904374
2000-09-21,56.812727,58.43773,55.875227,58.250228,3817300,41.080684
2000-09-22,58.250228,59.250243,57.875233,58.750242,3059600,41.433316
2000-09-25,59.000236,60.375245,58.375234,60.000241,3328600,42.314872
2000-09-26,60.062742,60.687744,58.812734,59.562741,2332900,42.006327
2000-09-27,59.000236,59.312735,58.375234,58.750242,3108100,41.433316
2000-09-28,58.750242,62.000248,58.750242,60.937738,3354900,42.976036
2000-09-29,61.312741,61.937743,60.687744,60.750249,2852700,42.843811
2000-10-02,61.000243,63.000254,59.87524,63.000254,4219200,44.430615
2000-10-03,62.437744,62.687751,61.375246,61.500247,3933700,43.372743
2000-10-04,61.562748,61.812746,60.875246,60.875246,2751600,42.98788
2000-10-05,61.687749,62.500249,60.750249,61.000243,3767600,43.076148
2000-10-06,60.562747,60.750249,57.50023,57.937725,6946900,40.91351
2000-10-09,58.00023,58.00023,56.437719,56.625225,4123600,39.986671
2000-10-10,56.937724,56.937724,55.000218,55.500223,6166600,39.192235
2000-10-11,54.875221,55.937719,54.062722,54.37522,7036200,38.397799
2000-10-12,56.000224,56.875228,51.187706,51.875209,9528500,36.632382
2000-10-13,51.4377,54.312716,51.4377,53.937712,5117900,38.088847
2000-10-16,54.500217,56.625225,54.000217,55.75023,5397400,39.368781
2000-10-17,55.250225,56.000224,53.125208,53.750219,5519700,37.956446
2000-10-18,52.875214,55.62522,50.625201,54.250224,8089600,38.309531
2000-10-19,55.250225,56.875228,55.18772,56.062728,4281600,39.589456
2000-10-20,55.437718,56.875228,55.437718,56.062728,2941300,39.589456
2000-10-23,56.562729,56.562729,54.000217,54.37522,5033000,38.397799
2000-10-24,54.812716,57.375233,54.687719,57.125226,5099100,40.339753
2000-10-25,57.750223,58.750242,57.000229,57.375233,5103800,40.516299
2000-10-26,56.437719,56.562729,53.062716,54.437712,6869800,38.441929
2000-10-27,55.875227,56.250217,54.812716,55.812722,3439300,39.41291
2000-10-30,56.375227,58.875239,56.312722,58.43773,3621300,41.266596
2000-10-31,58.375234,60.187743,57.375233,60.000241,4803900,42.369984
2000-11-01,59.87524,60.125238,57.125226,58.375234,4518900,41.222463
2000-11-02,58.500235,59.062741,57.562735,57.625227,3816000,40.692835
2000-11-03,58.500235,60.375245,57.750223,59.625233,3795700,42.105167
2000-11-06,59.87524,60.625239,59.312735,60.625239,3308000,42.811335
2000-11-07,60.375245,61.437743,60.187743,60.937738,2334900,43.03201
2000-11-08,61.312741,61.312741,57.875233,58.00023,3968900,40.957649
2000-11-09,58.187732,59.187738,57.062734,58.250228,3983800,41.134189
2000-11-10,57.875233,59.37524,57.062734,57.062734,3504100,40.295623
2000-11-13,56.937724,58.00023,55.562728,55.875227,3537500,39.457049
2000-11-14,55.875227,58.875239,55.875227,57.312728,3451300,40.47216
2000-11-15,57.250236,59.500236,56.500224,57.687732,3807800,40.736974
2000-11-16,57.50023,58.750242,57.000229,57.750223,2494100,40.781103
2000-11-17,57.187731,57.750223,55.125219,56.062728,4459900,39.589456
2000-11-20,56.062728,56.062728,52.562716,52.625208,5403700,37.162004
2000-11-21,52.500211,53.500212,50.062704,53.250205,4354300,37.603354
2000-11-22,52.875214,53.750219,51.125201,51.812704,3565900,36.588243
2000-11-24,51.687707,52.250213,51.187706,51.375208,1799200,36.2793
2000-11-27,54.000217,54.000217,52.875214,53.000211,3295000,37.426818
