Date,Open,High,Low,Close,Volume
2013-10-21,2.0,7.8,2.0,6.0,17781
2013-10-22,6.47,6.78,5.81,6.12,3700
2013-10-23,5.9,6.25,5.84,6.25,2200
2013-10-24,6.5,6.5,5.86,5.86,6420
2013-10-25,5.85,5.87,5.7,5.8,3675
2013-10-28,6.0,6.0,6.0,6.0,100
2013-10-29,6.43,6.52,6.0,6.0,2500
2013-10-30,6.75,7.01,6.0,6.0,3825
2013-11-01,5.64,5.64,5.1,5.38,400
2013-11-04,5.4,5.41,5.04,5.2,118121
2013-11-05,5.13,5.13,4.83,4.89,108427
2013-11-06,4.93,5.1,4.21,4.43,123867
2013-11-07,4.36,4.36,4.02,4.05,134667
2013-11-08,4.1,4.35,4.0,4.2,108383
2013-11-11,4.16,4.42,4.05,4.06,80595
2013-11-12,4.05,4.05,3.77,3.95,66657
2013-11-13,3.91,3.98,3.37,3.54,135745
2013-11-14,3.41,3.66,3.41,3.55,58194
2013-11-15,3.53,4.28,3.51,4.15,64229
2013-11-18,4.69,5.14,4.1,4.95,177932
2013-11-19,5.4,5.4,4.89,4.98,134523
2013-11-20,5.07,5.1,4.7,4.8,177836
2013-11-21,5.04,5.05,4.7,5.04,23377
2013-11-22,5.46,5.47,4.76,4.93,113398
2013-11-25,4.93,5.25,4.7,4.75,67306
2013-11-26,4.74,5.09,4.68,4.91,71653
2013-11-27,4.94,5.0,4.71,5.0,70190
2013-11-29,5.02,5.17,4.94,5.07,12703
2013-12-02,5.16,5.17,4.68,4.79,46782
2013-12-03,4.77,5.01,4.65,4.92,41094
2013-12-04,5.04,5.05,4.75,4.82,31755
2013-12-05,4.83,4.96,4.71,4.77,27568
2013-12-06,4.85,5.0,4.73,4.9,23115
2013-12-09,4.88,4.99,4.88,4.95,28147
2013-12-10,4.91,4.99,4.76,4.82,36411
2013-12-11,4.81,4.99,4.76,4.82,45360
2013-12-12,4.86,5.0,4.8,4.83,28171
2013-12-13,4.92,4.99,4.81,4.9,19950
2013-12-16,4.94,4.99,4.8,4.95,46599
2013-12-17,4.96,4.96,4.75,4.79,51635
2013-12-18,4.78,4.96,4.75,4.8,28212
2013-12-19,4.8,4.81,4.31,4.38,50645
2013-12-20,4.4,4.86,4.14,4.86,99114
2013-12-23,4.59,4.77,4.42,4.75,31067
2013-12-24,4.6,4.7,4.5,4.68,24259
2013-12-26,4.72,4.88,4.72,4.75,20834
2013-12-27,4.79,4.8,4.54,4.74,16234
2013-12-30,4.71,4.78,4.56,4.66,22713
2013-12-31,4.65,4.88,4.61,4.75,44132
2014-01-02,4.71,4.75,4.54,4.61,34125
2014-01-03,4.6,4.82,4.52,4.78,12179
2014-01-06,4.58,4.87,4.5,4.79,13018
2014-01-07,4.77,4.99,4.66,4.91,40639
2014-01-08,4.92,4.92,4.76,4.87,60358
2014-01-09,4.86,4.86,4.78,4.84,18332
2014-01-10,4.87,4.87,4.75,4.84,15390
2014-01-13,4.9,4.95,4.78,4.83,66703
2014-01-14,4.87,4.95,4.79,4.86,31448
2014-01-15,4.86,4.86,4.78,4.82,26010
2014-01-16,4.66,4.86,4.61,4.74,37128
2014-01-17,4.86,4.89,4.75,4.85,31064
2014-01-21,4.92,4.98,4.75,4.78,85284
2014-01-22,4.81,4.9,4.78,4.86,37183
2014-01-23,4.94,4.94,4.7,4.76,17062
2014-01-24,4.75,4.77,4.59,4.59,33811
2014-01-27,4.62,4.67,4.25,4.28,36273
2014-01-28,4.25,4.38,4.01,4.14,51769
2014-01-29,4.11,4.55,4.11,4.34,36705
2014-01-30,4.4,4.54,4.36,4.48,29857
2014-01-31,4.4,4.4,4.04,4.09,21219
2014-02-03,4.09,4.09,3.9,3.91,27882
2014-02-04,3.9,3.96,3.82,3.88,29362
2014-02-05,4.32,4.32,3.61,3.76,16982
2014-02-06,3.79,3.84,3.67,3.78,14995
2014-02-07,3.77,3.94,3.7,3.9,22333
2014-02-10,4.19,4.25,4.06,4.13,62406
2014-02-11,4.13,4.13,4.0,4.07,14416
2014-02-12,4.13,4.13,3.87,3.95,16590
2014-02-13,3.99,3.99,3.8,3.85,21065
2014-02-14,3.82,3.88,3.78,3.81,10667
2014-02-18,3.89,3.91,3.75,3.87,22827
2014-02-19,3.9,3.99,3.76,3.9,36570
2014-02-20,3.92,4.21,3.81,4.16,18420
2014-02-21,4.25,4.32,4.04,4.19,47192
2014-02-24,4.19,4.39,4.19,4.32,11771
2014-02-25,4.26,4.39,4.25,4.29,22369
2014-02-26,4.4,4.9,4.31,4.55,99743
2014-02-27,4.52,5.03,4.52,4.98,131894
2014-02-28,4.97,5.2,4.79,5.06,111662
2014-03-03,5.03,5.11,5.0,5.09,55858
2014-03-04,5.17,6.29,5.13,6.19,307332
2014-03-05,6.5,9.06,6.5,8.87,1066163
2014-03-06,10.0,10.0,8.12,8.7,685309
2014-03-07,9.12,9.2,8.17,8.48,429619
2014-03-10,8.48,10.3,8.34,9.9,651788
2014-03-11,10.18,10.98,8.77,9.16,603180
2014-03-12,9.08,9.65,8.6,9.51,208101
2014-03-13,9.67,9.95,9.06,9.49,147301
2014-03-14,11.49,11.58,10.11,10.69,1582260
2014-03-17,11.21,11.3,10.4,11.0,351795
2014-03-18,11.09,11.89,9.65,10.01,918361
2014-03-19,9.9,10.75,9.7,10.52,249568
2014-03-20,10.38,10.4,9.81,9.93,205877
2014-03-21,10.05,10.38,9.53,9.64,268685
2014-03-24,9.53,9.55,8.5,8.97,361369
2014-03-25,9.0,9.25,7.7,7.9,451017
2014-03-26,8.37,8.4,7.52,7.63,232588
2014-03-27,7.48,7.6,6.76,7.15,334283
2014-03-28,6.99,7.39,6.93,7.29,102116
2014-03-31,7.42,9.3,7.18,9.07,776283
2014-04-01,9.0,9.33,8.23,9.06,520501
2014-04-02,9.08,9.68,8.43,8.52,294595
2014-04-03,8.55,8.71,8.02,8.19,149425
2014-04-04,8.19,8.38,7.55,8.28,241368
2014-04-07,8.15,8.2,7.75,7.93,110245
2014-04-08,7.86,8.33,7.75,8.09,126111
2014-04-09,8.06,8.99,8.06,8.87,220173
2014-04-10,9.77,9.89,8.59,9.55,725161
2014-04-11,9.5,9.75,8.65,8.81,263074
2014-04-14,8.81,9.03,8.3,8.47,149428
2014-04-15,8.6,9.07,8.15,8.96,286922
2014-04-16,9.1,9.19,8.54,8.7,134714
2014-04-17,8.73,9.55,8.48,9.37,367164
2014-04-21,9.21,10.24,9.21,9.5,464202
2014-04-22,9.43,9.99,9.43,9.86,88136
2014-04-23,9.93,10.37,9.51,9.68,161786
2014-04-24,9.85,9.95,9.5,9.71,149411
2014-04-25,9.71,9.72,9.14,9.42,144876
2014-04-28,9.49,9.5,8.43,8.57,281427
2014-04-29,8.57,8.99,8.57,8.84,90591
2014-04-30,8.84,8.99,8.59,8.65,118254
2014-05-01,8.6,8.84,8.45,8.66,63637
2014-05-02,8.65,8.69,8.3,8.46,75093
2014-05-05,8.35,8.62,8.2,8.41,64297
2014-05-06,8.34,8.49,8.15,8.25,61935
2014-05-07,8.23,8.35,7.7,8.12,134475
2014-05-08,8.12,8.12,7.07,7.28,170157
2014-05-09,7.32,7.42,7.05,7.19,64507
2014-05-12,7.19,7.2,6.5,6.51,201267
2014-05-13,6.51,7.24,6.5,6.71,171545
