Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,55.9375,56.3125,55.0,55.5625,556100,26.755919
2000-01-04,55.5625,55.5625,54.0,54.125,367200,26.063696
2000-01-05,54.875,55.9375,54.5,55.9375,481700,26.936499
2000-01-06,55.375,55.5,54.0,55.125,853800,26.545242
2000-01-07,55.25,58.0,55.0,58.0,908700,27.929688
2000-01-10,58.5,58.75,57.375,58.125,850900,27.989881
2000-01-11,57.6875,58.9375,57.5625,57.5625,287200,27.719011
2000-01-12,59.0,59.0,58.125,58.3125,250600,28.080171
2000-01-13,57.6875,59.3125,57.4375,58.0,510500,27.929688
2000-01-14,60.4375,61.25,59.3125,60.0,725800,28.892781
2000-01-18,55.75,55.875,54.0625,54.0625,2574900,26.033599
2000-01-19,56.1875,57.0,55.75,57.0,1713400,27.448142
2000-01-20,55.5625,55.625,54.75,54.875,590000,26.424856
2000-01-21,54.0625,54.5625,54.0,54.125,698000,26.063696
2000-01-24,53.5625,53.625,52.0,52.125,1210300,25.100603
2000-01-25,51.3125,51.625,50.25,51.5625,879300,24.829733
2000-01-26,51.8125,52.125,50.375,51.875,877700,24.980217
2000-01-27,51.75,51.75,50.6875,51.0,814000,24.558863
2000-01-28,51.1875,52.875,51.0625,52.0,1096100,25.04041
2000-01-31,52.5,53.6875,51.3125,52.75,725300,25.40157
2000-02-01,51.25,51.375,49.75,50.9375,974500,24.528767
2000-02-02,51.1875,52.625,51.0625,51.875,625500,24.980217
2000-02-03,52.1875,52.25,51.0,51.3125,397000,24.709347
2000-02-04,49.6875,50.125,48.75,49.3125,918500,23.746254
2000-02-07,48.25,49.125,47.4375,48.3125,1514800,23.264708
2000-02-08,48.1875,50.125,48.1875,50.125,878400,24.13751
2000-02-09,50.375,51.6875,50.25,50.5,1320300,24.31809
2000-02-10,52.625,53.0,50.5625,50.9375,805500,24.528767
2000-02-11,48.8125,50.3125,48.0,48.3125,1000900,23.264708
2000-02-14,48.1875,48.75,47.875,48.625,598800,23.415191
2000-02-15,48.5625,49.0625,48.1875,48.6875,445500,23.445288
2000-02-16,45.5,47.25,45.25,47.25,1046100,22.753065
2000-02-17,47.75,48.125,46.5,46.75,735400,22.512292
2000-02-18,47.4375,47.5625,45.625,46.0,496400,22.151132
2000-02-22,46.5,46.75,46.0,46.5625,522500,22.422002
2000-02-23,46.625,47.0,46.3125,46.8125,478100,22.542388
2000-02-24,46.75,47.5,46.5,46.875,1019900,22.572485
2000-02-25,47.5625,48.3125,47.0625,47.125,938100,22.692871
2000-02-28,47.875,49.0,47.5,48.5,910400,23.354998
2000-02-29,48.1875,49.0625,48.0625,48.75,617100,23.475384
2000-03-01,49.5625,51.0,49.5,50.4375,926100,24.685492
2000-03-02,50.6875,50.6875,49.375,50.0,1070900,24.471368
2000-03-03,48.9375,48.9375,47.5625,48.4375,795200,23.706638
2000-03-06,47.9375,48.125,47.25,47.5,531600,23.2478
2000-03-07,48.5,48.625,46.8125,46.8125,1147000,22.911318
2000-03-08,46.875,49.5625,46.875,48.9375,1030300,23.951351
2000-03-09,49.9375,50.375,48.9375,50.3125,644800,24.624314
2000-03-10,51.0,52.1875,50.75,51.5,991600,25.205509
2000-03-13,53.0,53.0,52.25,52.3125,764500,25.603169
2000-03-14,53.0,53.6875,52.875,52.875,634800,25.878472
2000-03-15,55.3125,58.3125,55.3125,58.0,1397400,28.386787
2000-03-16,59.5,59.5,56.4375,59.25,1147700,28.998571
2000-03-17,55.4375,57.625,55.4375,56.5,1004900,27.652646
2000-03-20,56.5625,57.1875,55.875,55.875,440700,27.346754
2000-03-21,57.5,59.0625,57.5,59.0,934300,28.876214
2000-03-22,59.25,59.5625,57.75,58.375,883800,28.570322
2000-03-23,57.0,58.0,56.9375,57.8125,431300,28.295019
2000-03-24,58.6875,59.625,57.375,57.75,584800,28.26443
2000-03-27,56.8125,57.625,56.1875,56.5625,326100,27.683235
2000-03-28,54.9375,55.6875,54.3125,55.6875,545000,27.254986
2000-03-29,55.4375,56.4375,54.8125,56.0,893500,27.407932
2000-03-30,55.5,55.9375,54.9375,54.9375,690500,26.887915
2000-03-31,56.9375,57.75,56.5,57.3125,484400,28.050305
2000-04-03,58.8125,60.625,58.75,60.625,850900,29.671534
2000-04-04,61.5,62.8125,60.625,61.375,1425400,30.038604
2000-04-05,59.875,62.5,59.875,61.8125,1123300,30.252729
2000-04-06,58.375,59.0,57.25,58.125,963600,28.447965
2000-04-07,57.375,58.0,57.125,57.75,519000,28.26443
2000-04-10,58.4375,60.75,58.4375,60.25,813400,29.487998
2000-04-11,60.8125,62.3125,60.8125,62.25,804600,30.466853
2000-04-12,61.875,62.5625,61.5,61.6875,993400,30.19155
2000-04-13,60.125,61.4375,60.125,60.8125,811900,29.763301
2000-04-14,58.5,59.0,56.5,57.0,747200,27.897359
2000-04-17,57.0,58.0,56.625,57.6875,894600,28.233841
2000-04-18,57.6875,59.875,57.0,59.625,658100,29.182106
2000-04-19,59.125,60.1875,58.625,60.0625,325800,29.396231
2000-04-20,61.8125,62.0,60.5625,60.5625,654200,29.640944
2000-04-24,60.625,61.0,60.1875,61.0,557700,29.855069
2000-04-25,64.3125,64.4375,63.125,63.75,1986600,31.200994
2000-04-26,62.5625,62.9375,61.0,61.3125,524800,30.008015
2000-04-27,58.9375,61.8125,58.8125,61.5625,501600,30.130372
2000-04-28,61.625,62.8125,60.8125,62.8125,504300,30.742156
2000-05-01,62.3125,62.375,61.5625,61.8125,528000,30.252729
2000-05-02,60.875,60.875,59.5625,60.1875,435200,29.457409
2000-05-03,58.6875,58.9375,57.25,57.375,502800,28.080895
2000-05-04,57.5,58.1875,57.5,57.6875,918200,28.233841
2000-05-05,57.0,58.4375,57.0,58.0,758300,28.386787
2000-05-08,58.25,60.25,58.0625,59.484379,477300,29.113282
2000-05-09,60.6875,60.875,59.5625,59.875,490800,29.304463
2000-05-10,59.0,59.25,57.6875,58.078121,676300,28.425021
2000-05-11,58.625,58.9375,58.1875,58.4375,577000,28.600911
2000-05-12,59.5,59.8125,58.625,58.6875,725500,28.723268
2000-05-15,58.0625,58.6875,57.6875,58.5,504800,28.6315
2000-05-16,59.8125,59.9375,59.125,59.4375,459300,29.090339
2000-05-17,59.0625,59.375,58.75,59.0,197500,28.876214
2000-05-18,59.75,60.125,58.9375,59.3125,411300,29.02916
2000-05-19,59.75,60.125,58.9375,59.6875,683600,29.212695
2000-05-22,60.0,60.4375,59.125,59.5625,651400,29.151517
2000-05-23,58.3125,58.9375,57.9375,58.6875,315300,28.723268
2000-05-24,58.0625,58.75,58.0625,58.5,380400,28.6315
2000-05-25,57.0,57.9375,57.0,57.25,561800,28.019716
2000-05-26,57.125,57.875,56.375,57.8125,212100,28.295019
2000-05-30,58.625,59.125,57.625,58.0,451200,28.386787
2000-05-31,57.0625,57.3125,56.3125,56.3125,263200,27.560878
2000-06-01,57.5,57.5625,56.3125,56.375,191300,27.591467
2000-06-02,57.3125,57.625,56.3125,56.3125,702400,27.560878
2000-06-05,55.375,55.375,53.25,53.25,1582300,26.062007
2000-06-06,52.9375,53.75,52.6875,53.625,925900,26.245542
2000-06-07,54.5,55.0625,54.4375,55.0,1025400,26.918505
2000-06-08,54.4375,54.5625,53.375,53.5625,717900,26.214953
2000-06-09,53.75,54.0,53.0,53.25,1244600,26.062007
2000-06-12,53.6875,54.0,52.875,53.3125,858800,26.092596
2000-06-13,54.75,55.0625,54.25,55.0625,662800,26.949094
2000-06-14,55.0625,55.75,55.0625,55.5,780200,27.163218
2000-06-15,55.75,55.75,55.0,55.3125,761400,27.071451
2000-06-16,55.6875,56.6875,55.5,56.125,494200,27.46911
2000-06-19,57.0,57.125,56.3125,56.875,553400,27.836181
2000-06-20,56.0625,56.9375,55.9375,56.6875,395700,27.744413
2000-06-21,56.8125,57.875,56.8125,57.5,407100,28.142073
2000-06-22,57.125,57.375,56.5,56.5,477500,27.652646
2000-06-23,55.875,56.875,55.5625,56.875,276500,27.836181
2000-06-26,56.625,57.25,55.3125,55.6875,792000,27.254986
2000-06-27,55.4375,58.5,55.25,58.0,1330800,28.386787
2000-06-28,58.3125,58.3125,57.75,57.9375,392500,28.356198
2000-06-29,56.9375,58.625,56.9375,58.5625,877300,28.66209
2000-06-30,58.625,58.75,57.8125,57.8125,593600,28.295019
2000-07-03,60.0,61.0,60.0,60.9375,772500,29.82448
2000-07-05,58.875,59.125,58.1875,59.109379,846800,28.929747
2000-07-06,59.0,59.625,58.9375,59.1875,569800,28.967982
2000-07-07,59.125,59.9375,58.75,59.0625,320300,28.906803
2000-07-10,58.375,59.0,58.3125,58.875,194800,28.815036
2000-07-11,59.125,59.9375,59.0,59.375,319100,29.059749
2000-07-12,59.9375,60.125,59.0625,59.0625,433200,28.906803
2000-07-13,58.75,58.75,56.5,56.875,599000,27.836181
2000-07-14,54.9375,56.0,54.375,55.1875,621400,27.010272
2000-07-17,54.3125,56.5625,54.25,56.1875,979800,27.4997
2000-07-18,56.0625,56.1875,54.75,55.0625,450400,26.949094
2000-07-19,54.9375,55.0625,54.3125,54.5625,386500,26.70438
2000-07-20,54.875,55.0,54.25,54.4375,1332600,26.643202
2000-07-21,54.125,54.25,53.75,53.8125,351200,26.33731
2000-07-24,54.5625,54.625,54.125,54.25,350700,26.551434
2000-07-25,56.0,56.125,54.0,54.0,715200,26.429077
2000-07-26,55.75,56.375,54.625,55.0,619000,26.918505
2000-07-27,57.5,58.625,57.3125,58.625,815500,28.692679
2000-07-28,58.625,59.25,58.375,58.5,360400,28.6315
2000-07-31,57.1875,57.5625,56.75,57.125,292300,27.958538
2000-08-01,58.0,58.9375,57.9375,58.9375,649100,28.845625
2000-08-02,59.4375,59.6875,59.1875,59.4375,665400,29.090339
2000-08-03,59.3125,59.6875,59.1875,59.5625,588100,29.151517
2000-08-04,59.5625,59.875,58.5,58.625,512300,28.692679
2000-08-07,59.375,59.9375,59.25,59.625,321200,29.182106
2000-08-08,58.625,58.75,58.1875,58.1875,319500,28.478554
2000-08-09,57.625,58.25,56.1875,56.3125,984600,27.800723
2000-08-10,56.5,57.3125,56.375,57.25,407000,28.263554
2000-08-11,57.6875,58.8125,57.625,58.625,754200,28.942373
2000-08-14,59.6875,59.6875,58.375,58.6875,455200,28.973228
2000-08-15,57.6875,58.125,57.4375,57.875,591900,28.572108
2000-08-16,58.4375,59.3125,58.375,58.8125,407200,29.034939
2000-08-17,58.875,59.3125,58.6875,59.0,243000,29.127505
2000-08-18,58.9375,58.9375,58.125,58.25,416300,28.75724
2000-08-21,58.375,59.25,58.3125,59.125,196700,29.189216
2000-08-22,59.125,60.1875,58.9375,59.4375,445900,29.343493
2000-08-23,58.625,59.375,58.1875,59.1875,458900,29.220071
2000-08-24,58.9375,59.5625,58.9375,59.375,337300,29.312638
2000-08-25,59.3125,59.875,59.25,59.5,210400,29.374348
2000-08-28,59.375,59.5,58.75,58.875,261400,29.065794
2000-08-29,57.625,58.3125,57.0625,58.3125,760800,28.788096
2000-08-30,56.5,57.4375,56.25,57.125,610300,28.201843
2000-08-31,57.3125,57.9375,57.3125,57.5625,307900,28.417831
2000-09-01,56.9375,57.8125,56.9375,57.5,191100,28.386975
2000-09-05,56.5625,56.9375,55.6875,56.5,452100,27.893289
2000-09-06,55.3125,56.125,55.3125,55.5,315800,27.399602
2000-09-07,55.625,56.5,55.5625,56.125,327900,27.708156
2000-09-08,54.8125,55.1875,54.5,54.5625,475100,26.936771
2000-09-11,54.1875,54.625,54.0,54.5625,602300,26.936771
2000-09-12,55.9375,56.25,55.5625,56.0,500800,27.646446
2000-09-13,54.875,55.5625,54.75,55.1875,394800,27.245325
2000-09-14,55.4375,55.5,55.0625,55.125,265000,27.21447
2000-09-15,54.3125,54.6875,53.8125,53.875,492400,26.597362
2000-09-18,54.125,54.75,54.125,54.375,292400,26.844205
2000-09-19,54.0,54.625,53.6875,54.375,452400,26.844205
2000-09-20,54.4375,54.5625,53.9375,54.5,270000,26.905916
2000-09-21,55.5,56.5625,55.4375,56.25,679700,27.769867
2000-09-22,57.75,59.0,57.75,58.625,697800,28.942373
2000-09-25,59.375,59.625,58.375,58.5625,539100,28.911517
2000-09-26,57.375,57.6875,57.0625,57.5,269400,28.386975
2000-09-27,58.4375,58.5,57.875,58.125,222100,28.695529
2000-09-28,58.1875,59.3125,58.1875,59.0,414600,29.127505
2000-09-29,59.5,60.625,59.375,60.4375,646200,29.837179
2000-10-02,60.4375,60.5625,59.3125,59.625,396900,29.436059
2000-10-03,58.8125,59.375,58.625,59.375,405800,29.312638
2000-10-04,59.0625,59.9375,59.0625,59.625,503600,29.436059
2000-10-05,59.0,59.9375,59.0,59.6875,277300,29.466915
2000-10-06,59.1875,59.625,58.5625,59.3125,327800,29.281782
2000-10-09,59.125,59.1875,58.3125,58.375,344600,28.818951
2000-10-10,59.3125,59.625,59.125,59.4375,461600,29.343493
2000-10-11,59.125,59.5625,58.5625,58.6875,437500,28.973228
2000-10-12,58.3125,58.625,57.75,58.1875,682400,28.726385
2000-10-13,58.0,58.1875,57.3125,57.9375,330600,28.602963
2000-10-16,57.3125,58.25,57.25,58.125,294200,28.695529
2000-10-17,57.375,59.3125,57.375,58.6875,469900,28.973228
2000-10-18,58.5625,59.625,58.5,59.125,635500,29.189216
2000-10-19,57.75,57.875,57.25,57.375,422300,28.325264
2000-10-20,57.0,57.0,56.125,56.5,338800,27.893289
2000-10-23,57.4375,58.125,57.1875,58.0625,466700,28.664674
2000-10-24,58.5625,59.1875,58.5625,58.8125,574300,29.034939
2000-10-25,57.75,59.125,57.5,58.8125,615000,29.034939
2000-10-26,58.8125,59.5,58.625,59.375,669000,29.312638
2000-10-27,58.75,59.3125,58.25,59.125,378800,29.189216
2000-10-30,59.5,60.25,59.5,59.75,419000,29.49777
2000-10-31,57.875,58.1875,57.0625,58.1875,1179900,28.726385
2000-11-01,57.625,58.125,57.625,57.9375,731200,28.602963
2000-11-02,58.0625,58.3125,57.1875,57.75,486800,28.510397
2000-11-03,57.75,58.0,57.3125,58.0,416400,28.633819
2000-11-06,58.4375,58.875,58.25,58.3125,534400,28.788096
2000-11-07,58.0,58.1875,57.0625,57.0625,699900,28.170987
2000-11-08,59.5,59.9375,59.0,59.5,1344300,29.374348
2000-11-09,59.75,60.1875,59.0,59.5,850700,29.374348
2000-11-10,58.8125,59.3125,58.5625,59.0,850800,29.127505
2000-11-13,58.5,59.0625,57.75,57.8125,1346200,28.541252
2000-11-14,58.5625,59.875,58.0,59.0625,765000,29.158361
2000-11-15,58.4375,58.875,58.0,58.5625,411400,28.911517
2000-11-16,57.5,57.9375,57.0625,57.125,512000,28.201843
2000-11-17,57.125,58.4375,57.125,57.9375,445400,28.602963
2000-11-20,58.0,58.4375,57.75,58.1875,331200,28.726385
2000-11-21,59.1875,59.3125,58.0,58.9375,488500,29.09665
2000-11-22,58.4375,58.5625,57.75,58.0,359400,28.633819
2000-11-24,58.5,58.9375,58.3125,58.6875,270400,28.973228
2000-11-27,59.5,60.0,58.5,58.875,1102400,29.065794
2000-11-28,59.0,59.3125,56.5,56.5625,2861600,27.924144
2000-11-29,57.25,58.625,57.1875,58.25,1640200,28.75724
2000-11-30,58.25,58.4375,57.3125,57.3125,872000,28.294409
2000-12-01,56.5625,56.875,55.5625,55.875,991000,27.584735
2000-12-04,56.25,57.75,56.1875,57.3125,506900,28.294409
2000-12-05,57.5625,58.625,57.5625,57.875,974200,28.572108
2000-12-06,55.3125,55.9375,54.5625,54.9375,1452800,27.121904
2000-12-07,54.9375,55.5625,54.875,54.9375,358200,27.121904
2000-12-08,54.9375,55.125,53.5625,54.625,938900,26.967627
2000-12-11,53.75,54.375,53.4375,54.375,792200,26.844205
2000-12-12,54.6875,56.8125,54.5625,56.1875,1732600,27.739012
2000-12-13,57.75,58.375,57.0625,57.6875,1084900,28.479542
2000-12-14,58.125,58.875,58.125,58.375,938000,28.818951
2000-12-15,58.0,58.0,57.0625,57.125,737100,28.201843
2000-12-18,55.75,56.4375,55.0,56.3125,874000,27.800723
2000-12-19,54.5,54.6875,53.9375,54.4375,2068800,26.87506
2000-12-20,54.6875,55.9375,54.625,55.375,1203000,27.337891
2000-12-21,54.875,54.9375,54.0,54.0,1002200,26.659072
2000-12-22,53.8125,54.875,53.8125,54.8125,669700,27.060193
2000-12-26,54.25,55.5,54.25,54.875,351700,27.091048
2000-12-27,55.0625,55.8125,54.875,55.375,358400,27.712611
2000-12-28,56.6875,57.0625,56.5625,56.8125,797100,28.432013
2000-12-29,56.375,56.5,56.0,56.0,284100,28.025394
2001-01-02,56.0,56.875,55.8125,55.875,566500,27.962838
2001-01-03,56.1875,56.5625,54.0625,54.8125,981400,27.431106
2001-01-04,52.25,52.6875,51.75,52.125,1820100,26.086137
2001-01-05,51.5,52.1875,51.5,51.8125,1544000,25.929746
2001-01-08,52.25,52.5625,51.5625,51.8125,766100,25.929746
2001-01-09,51.0,52.125,50.9375,51.9375,714900,25.992302
2001-01-10,52.6875,52.9375,52.3125,52.625,731800,26.336364
2001-01-11,53.8125,54.0,53.0,53.3125,1608800,26.680426
2001-01-12,52.6875,53.125,52.1875,52.75,682700,26.398921
2001-01-16,53.0625,53.5,52.875,53.375,648400,26.711704
2001-01-17,53.125,53.375,51.8125,52.0,970700,26.023581
2001-01-18,53.0,53.375,52.875,53.375,1302700,26.711704
2001-01-19,52.9375,53.25,52.1875,52.75,813600,26.398921
2001-01-22,51.5,53.125,51.5,52.75,1139500,26.398921
2001-01-23,53.3125,53.625,52.8125,53.4375,987700,26.742982
2001-01-24,52.125,52.4375,51.75,51.9375,980500,25.992302
2001-01-25,51.9375,52.5625,51.5625,52.5625,986300,26.305086
2001-01-26,52.8125,54.0,52.625,53.375,826400,26.711704
2001-01-29,52.630001,52.869999,51.810001,51.810001,569000,25.928495
2001-01-30,52.060001,52.5,51.5,52.150002,516700,26.098649
2001-01-31,52.009998,52.790001,51.5,52.549999,927000,26.29883
2001-02-01,53.509998,53.619999,53.099998,53.41,777100,26.72922
2001-02-02,53.52,53.75,52.66,53.049999,705400,26.549056
2001-02-05,54.450001,54.889999,54.419998,54.459999,942300,27.254696
2001-02-06,54.240002,54.59,53.66,54.02,453700,27.034497
2001-02-07,54.349998,54.459999,53.709999,53.75,531200,26.899374
2001-02-08,53.599998,53.599998,53.110001,53.52,633800,26.78427
2001-02-09,53.200001,53.650002,53.009998,53.639999,270300,26.844324
2001-02-12,53.5,54.25,53.5,53.970001,408700,27.009475
2001-02-13,55.200001,55.73,54.400002,54.799999,1357600,27.42485
2001-02-14,55.369999,55.799999,55.099998,55.310001,790200,27.680082
2001-02-15,54.5,55.049999,54.360001,55.049999,624000,27.549963
2001-02-16,54.75,55.400002,54.669998,54.889999,835500,27.469891
