Date_AAPL,Open_AAPL,High_AAPL,Low_AAPL,Close_AAPL,Volume_AAPL,Date_GOOG,Open_GOOG,High_GOOG,Low_GOOG,Close_GOOG,Volume_GOOG,Date_MSFT,Open_MSFT,High_MSFT,Low_MSFT,Close_MSFT,Volume_MSFT,Date_AMD,Open_AMD,High_AMD,Low_AMD,Close_AMD,Volume_AMD
2000-08-09,3.44,3.46,3.38,3.39,92020600,2004-08-19,49.96,51.98,47.93,50.12,,2000-08-09,36.88,38.0,36.56,37.12,62816000,2000-08-08,65.75,66.81,60.5,61.5,6411700
2000-08-10,3.43,3.46,3.38,3.4,62259400,2004-08-20,50.69,54.49,50.2,54.1,,2000-08-10,36.91,37.03,35.88,36.31,48321400,2000-08-09,62.5,63.88,59.75,61.5,5544800
2000-08-11,3.35,3.43,3.25,3.41,58997400,2004-08-23,55.32,56.68,54.47,54.65,,2000-08-11,36.22,36.34,35.81,36.22,33677600,2000-08-10,60.38,61.56,56.5,56.81,7261000
2000-08-14,3.4,3.41,3.31,3.36,38712800,2004-08-24,55.56,55.74,51.73,52.38,,2000-08-14,36.16,36.69,35.69,36.09,52615000,2000-08-11,55.25,58.5,54.0,57.0,7415800
2000-08-15,3.38,3.42,3.32,3.33,28061600,2004-08-25,52.43,53.95,51.89,52.95,,2000-08-15,36.0,36.5,35.75,35.81,39644000,2000-08-14,59.12,63.25,57.25,63.12,6092200
2000-08-16,3.35,3.57,3.34,3.46,34062000,2004-08-26,52.42,53.92,52.28,53.9,,2000-08-16,35.94,36.12,35.28,35.5,43534200,2000-08-15,63.25,64.75,62.0,63.62,6155200
2000-08-17,3.46,3.75,3.45,3.67,65221800,2004-08-27,54.0,54.26,52.79,53.02,,2000-08-17,35.56,36.0,35.28,35.78,33810200,2000-08-16,64.62,66.25,62.12,64.25,5765200
2000-08-18,3.67,3.7,3.56,3.57,46810400,2004-08-30,52.69,52.69,50.95,50.95,,2000-08-18,35.56,35.72,35.19,35.5,49579000,2000-08-17,63.25,68.25,62.75,68.0,6534500
2000-08-21,3.59,3.68,3.54,3.61,33230400,2004-08-31,51.11,51.8,51.03,51.13,,2000-08-21,35.34,35.41,35.0,35.31,32698000,2000-08-18,70.44,71.0,69.0,70.62,6654700
2000-08-22,3.62,3.77,3.6,3.69,68713400,2004-09-01,51.3,51.43,49.79,50.07,,2000-08-22,35.41,36.22,35.31,35.62,52178400,2000-08-21,70.75,71.75,66.5,68.31,5573300
2000-08-23,3.68,3.91,3.65,3.88,58413600,2004-09-02,49.5,51.13,49.42,50.7,,2000-08-23,35.41,35.56,35.25,35.38,35820200,2000-08-22,34.12,35.12,33.12,34.38,5467700
2000-08-24,3.91,4.04,3.81,4.01,76907600,2004-09-03,50.42,50.82,49.61,49.95,,2000-08-24,35.31,35.62,34.97,35.56,40574400,2000-08-23,34.62,34.81,33.38,34.44,4818600
2000-08-25,4.04,4.11,4.01,4.06,81972800,2004-09-07,50.45,50.95,49.76,50.74,,2000-08-25,35.34,35.84,35.28,35.31,49569400,2000-08-24,35.12,36.0,34.12,34.75,7976900
2000-08-28,0.0,4.21,4.08,4.15,88040400,2004-09-08,50.32,51.46,50.2,51.1,,2000-08-28,35.1,36.06,35.06,35.66,55235000,2000-08-25,35.0,35.12,33.69,34.25,3826400
2000-08-29,4.14,4.27,4.12,4.23,65566200,2004-09-09,51.2,51.3,50.45,51.1,,2000-08-29,35.51,36.38,35.44,35.47,57772400,2000-08-28,0.0,35.25,33.81,34.5,4550800
2000-08-30,4.21,4.29,4.19,4.25,70200200,2004-09-10,50.75,53.23,50.6,52.61,,2000-08-30,35.34,35.47,34.78,35.0,52481000,2000-08-29,34.56,35.75,34.0,34.56,5510400
2000-08-31,4.21,4.39,4.21,4.35,100643200,2004-09-13,53.26,54.15,53.18,53.7,,2000-08-31,35.44,35.66,34.81,34.91,68429800,2000-08-30,34.5,35.38,34.06,35.38,3803000
2000-09-01,4.38,4.56,4.37,4.53,62217400,2004-09-14,53.67,55.94,53.34,55.69,,2000-09-01,35.0,35.31,34.84,35.09,36854000,2000-08-31,35.25,38.25,35.06,37.75,8737800
2000-09-05,4.48,4.58,4.43,4.46,73190600,2004-09-15,55.22,57.06,55.04,55.94,,2000-09-05,35.0,35.34,34.91,35.06,49606800,2000-09-01,38.12,38.25,36.62,37.38,5268800
2000-09-06,4.38,4.46,4.12,4.17,85957200,2004-09-16,56.11,57.84,55.77,56.93,,2000-09-06,35.03,35.34,34.66,34.72,60981400,2000-09-05,37.0,37.0,34.25,34.75,9150500
2000-09-07,4.22,4.47,4.16,4.43,52726800,2004-09-17,57.15,58.69,56.72,58.69,,2000-09-07,35.0,36.03,34.72,35.03,9780800,2000-09-06,34.5,34.5,32.25,32.62,9114200
2000-09-08,4.4,4.4,4.18,4.21,47247200,2004-09-20,58.42,60.74,58.33,59.62,,2000-09-08,35.19,35.44,34.59,34.66,55326800,2000-09-07,32.5,33.88,32.5,33.0,7494300
2000-09-11,4.19,4.31,4.15,4.17,46067000,2004-09-21,60.04,60.15,58.7,58.86,,2000-09-11,34.56,34.84,34.03,34.41,47701200,2000-09-08,33.0,33.0,31.56,32.06,5503200
2000-09-12,4.1,4.29,4.07,4.12,46188800,2004-09-22,58.67,59.78,58.35,59.13,,2000-09-12,34.38,34.66,33.81,34.06,45248800,2000-09-11,31.56,33.06,31.0,32.06,4413700
